ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
16110,0.11599999999999999,0.16699999999999998,0.04
16111,0.102,0.19,0.033
16112,0.095,0.151,0.033
16113,0.1,0.149,0.031
16114,0.109,0.171,0.034
16115,0.105,0.152,0.033
16116,0.106,0.16,0.035
16117,0.102,0.159,0.035
16120,0.10099999999999999,0.161,0.033
16121,0.18100000000000002,0.196,0.057
16123,0.096,0.149,0.03
16124,0.106,0.166,0.034
16125,0.109,0.16899999999999998,0.037000000000000005
16127,0.081,0.175,0.027999999999999997
16130,0.114,0.16399999999999998,0.037000000000000005
16131,0.115,0.17,0.039
16132,0.099,0.163,0.036000000000000004
16133,0.1,0.165,0.032
16134,0.113,0.153,0.037000000000000005
16136,0.10099999999999999,0.15,0.035
16137,0.105,0.16,0.034
16140,0.106,0.162,0.036000000000000004
16141,0.105,0.16,0.034
16142,0.08199999999999999,0.177,0.028999999999999998
16143,0.102,0.162,0.034
16145,0.115,0.16699999999999998,0.037000000000000005
16146,0.135,0.195,0.043
16148,0.111,0.145,0.039
16150,0.105,0.162,0.035
16151,0.091,0.183,0.027000000000000003
16153,0.113,0.16699999999999998,0.037000000000000005
16154,0.107,0.16,0.034
16155,0.166,0.099,0.083
16156,0.09300000000000001,0.158,0.03
16157,0.107,0.16,0.035
16159,0.1,0.156,0.033
16160,0.12,0.159,0.042
16161,0.196,0.2,0.064
16201,0.106,0.159,0.036000000000000004
16210,0.09699999999999999,0.157,0.033
16211,0.166,0.183,0.057
16212,0.096,0.14800000000000002,0.035
16213,0.11800000000000001,0.166,0.04
16214,0.077,0.21600000000000003,0.025
16217,0.16699999999999998,0.156,0.055
16218,0.113,0.155,0.036000000000000004
16222,0.114,0.172,0.039
16223,0.102,0.174,0.036000000000000004
16224,0.11,0.16699999999999998,0.035
16226,0.11699999999999999,0.16,0.04
16228,0.10300000000000001,0.153,0.034
16229,0.09699999999999999,0.152,0.032
16230,0.1,0.17600000000000002,0.033
16232,0.11,0.16699999999999998,0.035
16233,0.102,0.158,0.031
16235,0.109,0.17,0.034
16236,0.096,0.163,0.03
16238,0.091,0.166,0.028999999999999998
16239,0.10800000000000001,0.182,0.032
16240,0.111,0.16699999999999998,0.037000000000000005
16242,0.11199999999999999,0.165,0.038
16244,0.11699999999999999,0.168,0.04
16245,0.10300000000000001,0.17300000000000001,0.036000000000000004
16246,0.135,0.2,0.045
16248,0.12300000000000001,0.18100000000000002,0.039
16249,0.107,0.171,0.035
16250,0.11199999999999999,0.17300000000000001,0.037000000000000005
16253,0.11599999999999999,0.161,0.044000000000000004
16254,0.10800000000000001,0.154,0.036000000000000004
16255,0.11599999999999999,0.16699999999999998,0.039
16256,0.111,0.215,0.037000000000000005
16258,0.10300000000000001,0.166,0.031
16259,0.111,0.163,0.037000000000000005
16260,0.106,0.152,0.034
16262,0.107,0.152,0.037000000000000005
16263,0.10300000000000001,0.18,0.035
16301,0.114,0.16899999999999998,0.037000000000000005
16311,0.10800000000000001,0.16699999999999998,0.033
16313,0.11,0.158,0.035
16314,0.10300000000000001,0.16,0.034
16316,0.109,0.147,0.035
16317,0.10800000000000001,0.163,0.035
16319,0.106,0.157,0.034
16321,0.124,0.153,0.04
16322,0.126,0.14800000000000002,0.043
16323,0.113,0.16399999999999998,0.038
16326,0.113,0.17,0.036000000000000004
16327,0.1,0.162,0.033
16328,0.146,0.14400000000000002,0.051
16329,0.106,0.14800000000000002,0.034
16331,0.09699999999999999,0.166,0.027999999999999997
16332,0.094,0.179,0.03
16333,0.11900000000000001,0.16,0.04
16334,0.11,0.157,0.034
16335,0.10300000000000001,0.172,0.034
16340,0.121,0.16,0.038
16341,0.111,0.157,0.036000000000000004
16342,0.11699999999999999,0.16,0.038
16343,0.10400000000000001,0.174,0.034
16344,0.095,0.157,0.032
