Zip Code,Performance Category,Actual ACP Enrollment,Predicted ACP enrollment,Claimed ACP subscribers,Total Support (in dollars),Total Households,Eligible Households,Wireline Broadband,Cellular Data Only,No Computer,"Income $15,000 or less",Rent Burdened,Population Age 65+,Share of population foreign born,State Code
57568,HIGH,11,7,10,277,231,70,79%,6%,7%,2%,57%,13%,0%,46
57570,HIGH,270,197,258,17307,480,448,34%,14%,33%,42%,37%,7%,1%,46
57623,HIGH,42,34,40,2336,254,145,72%,5%,17%,10%,29%,14%,0%,46
57714,HIGH,90,72,82,5841,160,156,44%,0%,48%,42%,65%,8%,0%,46
57769,HIGH,19,14,13,371,1520,483,56%,17%,4%,3%,62%,15%,0%,46
57772,HIGH,221,136,210,14852,321,298,41%,4%,34%,42%,56%,7%,0%,46
58045,HIGH,25,18,21,712,910,284,63%,10%,9%,10%,23%,20%,2%,38
58228,HIGH,28,19,22,760,341,137,60%,16%,5%,6%,30%,14%,5%,38
58230,HIGH,9,7,2,60,287,101,64%,4%,16%,13%,5%,26%,1%,38
58318,HIGH,47,39,21,602,1572,409,78%,7%,8%,7%,33%,21%,4%,38
58329,HIGH,241,159,120,6027,801,541,66%,1%,20%,27%,35%,12%,1%,38
58344,HIGH,11,10,7,181,378,152,63%,10%,7%,7%,22%,20%,7%,38
58366,HIGH,31,24,18,762,316,144,66%,5%,12%,14%,65%,13%,3%,38
58369,HIGH,60,37,18,621,329,171,73%,0%,15%,15%,32%,19%,0%,38
58421,HIGH,34,21,30,1007,1255,375,78%,6%,14%,7%,46%,24%,0%,38
58530,HIGH,10,7,7,310,427,167,62%,8%,7%,5%,70%,19%,0%,38
58554,HIGH,517,460,404,12607,11361,3545,74%,11%,6%,5%,45%,15%,2%,38
58630,HIGH,6,4,4,110,235,64,70%,9%,3%,7%,33%,21%,0%,38
58703,HIGH,383,301,318,10298,9229,2520,80%,7%,4%,7%,34%,12%,4%,38
59201,HIGH,511,314,463,27780,1683,1176,50%,8%,21%,17%,36%,15%,2%,30
59401,HIGH,1115,812,1023,31573,6105,3429,72%,8%,11%,18%,50%,17%,2%,30
59427,HIGH,251,191,212,7065,1585,912,70%,8%,9%,13%,44%,15%,1%,30
59486,HIGH,45,38,43,1390,488,314,51%,18%,15%,9%,51%,26%,7%,30
59501,HIGH,674,413,616,19003,4972,2316,71%,8%,10%,9%,45%,16%,2%,30
59521,HIGH,429,280,347,10504,1096,991,51%,7%,25%,23%,21%,10%,0%,30
59527,HIGH,117,79,104,2547,271,223,66%,4%,25%,29%,21%,10%,1%,30
59540,HIGH,21,15,20,765,188,111,65%,16%,11%,8%,6%,13%,0%,30
59632,HIGH,56,43,48,1525,786,388,52%,15%,2%,9%,35%,12%,0%,30
59644,HIGH,114,87,104,3105,1916,945,50%,13%,13%,5%,43%,23%,2%,30
59711,HIGH,615,387,575,17173,4295,2295,51%,15%,13%,16%,46%,24%,2%,30
59722,HIGH,232,174,218,6505,1828,977,45%,13%,14%,14%,26%,21%,2%,30
59821,HIGH,116,98,85,4731,963,554,65%,16%,13%,14%,53%,19%,1%,30
59824,HIGH,33,21,26,1589,576,276,61%,5%,7%,8%,65%,24%,2%,30
59831,HIGH,38,31,32,1549,212,166,66%,11%,9%,18%,49%,14%,3%,30
59845,HIGH,196,129,194,9820,607,491,49%,7%,22%,33%,71%,28%,4%,30
59868,HIGH,41,34,37,1310,974,414,52%,11%,24%,4%,48%,42%,7%,30
59870,HIGH,204,141,178,5230,4695,1351,52%,11%,8%,8%,36%,23%,2%,30
59872,HIGH,62,47,54,1620,938,475,49%,17%,10%,11%,41%,31%,2%,30
59922,HIGH,54,40,52,1560,1040,541,83%,1%,9%,2%,67%,27%,3%,30
59932,HIGH,23,14,19,570,698,48,37%,0%,40%,5%,19%,39%,0%,30
60005,HIGH,532,430,169,5910,12405,2995,82%,7%,6%,7%,34%,18%,27%,17
60025,HIGH,432,377,91,3940,16088,4112,81%,7%,6%,6%,59%,21%,26%,17
60033,HIGH,802,669,732,22143,4783,2581,62%,13%,4%,7%,51%,14%,16%,17
60053,HIGH,460,337,159,8000,9456,2417,76%,10%,9%,5%,52%,24%,37%,17
60061,HIGH,377,247,89,2775,10486,2531,86%,6%,4%,5%,43%,15%,32%,17
60118,HIGH,264,234,77,2840,6270,1246,82%,8%,5%,5%,50%,17%,12%,17
60134,HIGH,141,108,60,2000,10896,1238,89%,6%,3%,4%,39%,13%,6%,17
60135,HIGH,218,165,182,5615,2703,614,78%,7%,3%,4%,33%,15%,5%,17
60145,HIGH,39,25,31,970,992,169,51%,26%,5%,3%,37%,13%,6%,17
60152,HIGH,454,338,390,12114,4580,1236,58%,16%,6%,10%,57%,17%,6%,17
60187,HIGH,363,292,122,4290,10341,1762,85%,6%,3%,5%,41%,15%,11%,17
60203,HIGH,30,25,14,420,1670,285,90%,7%,1%,5%,39%,19%,16%,17
60301,HIGH,80,64,28,940,1842,340,88%,3%,6%,8%,36%,12%,19%,17
60415,HIGH,781,642,286,12780,5415,2614,67%,17%,10%,11%,56%,16%,25%,17
60439,HIGH,161,98,46,1580,8571,1460,84%,5%,4%,3%,54%,20%,16%,17
60470,HIGH,10,7,5,250,162,67,52%,20%,8%,5%,20%,18%,2%,17
60472,HIGH,658,589,383,15950,1475,1026,53%,14%,19%,23%,42%,14%,5%,17
60480,HIGH,57,51,15,550,2141,395,86%,5%,5%,3%,57%,21%,17%,17
60515,HIGH,398,304,111,3565,11854,1852,85%,6%,6%,7%,41%,19%,9%,17
60532,HIGH,457,298,125,4475,12698,2524,86%,6%,4%,6%,36%,15%,17%,17
60541,HIGH,21,14,8,390,1115,222,51%,7%,3%,3%,39%,13%,2%,17
60610,HIGH,1917,1325,963,37372,24654,7002,79%,7%,4%,12%,37%,15%,14%,17
60612,HIGH,4783,4101,2425,95569,13766,8796,64%,13%,10%,25%,54%,10%,11%,17
60613,HIGH,1278,1151,486,16770,28334,7645,85%,6%,3%,8%,35%,9%,16%,17
60621,HIGH,6902,5247,4274,167960,10783,10259,46%,23%,17%,34%,62%,15%,4%,17
60622,HIGH,1857,1550,821,32367,24839,6702,84%,6%,5%,7%,31%,7%,12%,17
60624,HIGH,7453,6187,4267,175800,13204,12000,55%,20%,14%,31%,70%,11%,2%,17
60628,HIGH,9313,8266,5151,200616,23198,14165,60%,15%,12%,18%,61%,17%,3%,17
60636,HIGH,5562,4688,3251,137575,11391,9867,46%,17%,21%,22%,67%,21%,7%,17
60646,HIGH,454,390,144,4945,10946,2331,77%,8%,6%,6%,43%,18%,18%,17
60651,HIGH,6783,5922,3566,146610,20564,13432,53%,18%,12%,14%,60%,13%,14%,17
60706,HIGH,461,394,138,5700,9408,3073,65%,9%,11%,5%,47%,19%,40%,17
60712,HIGH,210,132,98,3495,4766,947,73%,8%,12%,7%,55%,28%,34%,17
60918,HIGH,21,13,15,536,279,75,64%,8%,17%,4%,43%,21%,0%,17
60924,HIGH,31,25,13,390,661,225,56%,12%,14%,12%,47%,27%,3%,17
60927,HIGH,22,19,7,210,938,186,55%,21%,9%,6%,31%,19%,1%,17
60950,HIGH,374,258,100,4080,4849,1377,62%,20%,7%,8%,57%,21%,2%,17
60957,HIGH,192,159,109,3770,2204,845,59%,15%,8%,11%,31%,20%,1%,17
61001,HIGH,24,20,16,580,544,239,62%,10%,7%,5%,66%,28%,1%,17
61006,HIGH,37,31,5,350,611,165,46%,13%,14%,7%,49%,25%,4%,17
61014,HIGH,26,18,20,600,494,168,50%,16%,10%,4%,21%,14%,2%,17
61016,HIGH,74,58,10,300,2087,415,79%,9%,4%,3%,48%,21%,6%,17
61041,HIGH,56,50,44,1670,609,337,47%,17%,11%,9%,44%,22%,0%,17
61053,HIGH,60,50,41,1530,1132,434,58%,13%,9%,9%,23%,26%,2%,17
61065,HIGH,232,206,144,5019,3477,1136,77%,7%,8%,2%,70%,11%,4%,17
61070,HIGH,19,12,13,490,524,238,36%,26%,6%,4%,31%,26%,0%,17
61078,HIGH,26,17,18,640,484,158,49%,20%,17%,4%,39%,24%,0%,17
61080,HIGH,634,458,579,18149,4298,1709,73%,15%,6%,7%,30%,15%,6%,17
61088,HIGH,83,72,42,1236,2514,500,67%,14%,5%,3%,37%,17%,1%,17
61089,HIGH,7,5,5,143,293,83,51%,18%,13%,4%,28%,20%,2%,17
61103,HIGH,2477,2084,1231,44435,10002,6391,68%,10%,12%,16%,55%,20%,6%,17
61107,HIGH,1377,1089,537,19340,12975,4606,75%,12%,6%,8%,44%,22%,10%,17
61114,HIGH,412,350,122,4110,6474,1931,75%,7%,10%,5%,45%,27%,11%,17
61238,HIGH,70,57,36,1180,1066,288,68%,11%,4%,6%,59%,18%,0%,17
61241,HIGH,205,140,136,4564,2812,679,65%,16%,8%,3%,19%,15%,2%,17
61252,HIGH,138,106,99,3470,2472,772,61%,17%,13%,6%,50%,22%,2%,17
61261,HIGH,35,31,16,480,347,128,68%,10%,15%,8%,61%,25%,3%,17
61264,HIGH,463,329,299,10485,4655,1653,64%,20%,6%,9%,46%,22%,3%,17
61273,HIGH,30,25,17,510,1154,180,64%,16%,9%,3%,23%,15%,0%,17
61310,HIGH,127,94,27,795,1536,458,64%,13%,11%,8%,36%,24%,2%,17
61359,HIGH,7,6,2,60,185,81,39%,11%,12%,6%,82%,31%,4%,17
61375,HIGH,23,20,9,370,465,99,56%,10%,9%,4%,14%,26%,2%,17
61422,HIGH,171,125,44,1970,1226,592,58%,10%,13%,13%,43%,18%,0%,17
61423,HIGH,3,2,1,130,296,92,22%,6%,0%,10%,36%,17%,0%,17
61454,HIGH,15,10,9,270,186,121,73%,12%,4%,10%,67%,29%,2%,17
61469,HIGH,69,45,51,1580,936,346,51%,19%,21%,6%,54%,31%,0%,17
61476,HIGH,8,5,3,90,201,40,58%,18%,1%,1%,0%,7%,1%,17
61485,HIGH,17,11,14,405,183,47,50%,25%,15%,10%,33%,25%,1%,17
61530,HIGH,173,120,113,3739,2655,980,68%,14%,6%,5%,67%,20%,2%,17
61534,HIGH,36,28,20,600,684,253,48%,26%,12%,6%,5%,15%,1%,17
61536,HIGH,59,40,38,1500,1324,395,51%,27%,5%,3%,34%,24%,3%,17
61545,HIGH,11,7,7,210,313,111,14%,19%,15%,9%,55%,13%,11%,17
61564,HIGH,61,44,20,800,381,238,53%,33%,9%,2%,44%,17%,1%,17
61570,HIGH,48,43,29,1170,704,340,46%,23%,10%,4%,18%,20%,1%,17
61571,HIGH,498,417,129,4805,9512,2296,77%,10%,5%,6%,45%,16%,2%,17
61604,HIGH,2790,2435,1564,57984,11992,7493,65%,14%,11%,15%,48%,18%,4%,17
61610,HIGH,353,319,148,5243,2131,1331,60%,21%,5%,10%,47%,10%,1%,17
61615,HIGH,778,692,342,12470,10147,2594,79%,9%,5%,9%,33%,18%,12%,17
61704,HIGH,703,508,276,10865,15046,3632,79%,8%,2%,7%,28%,12%,15%,17
61724,HIGH,10,8,9,270,163,49,64%,15%,7%,6%,8%,16%,0%,17
61727,HIGH,447,397,270,9183,4011,1766,61%,18%,10%,13%,47%,18%,3%,17
61744,HIGH,29,19,24,820,658,252,56%,15%,6%,4%,36%,22%,2%,17
61747,HIGH,15,14,9,370,644,155,61%,14%,11%,4%,50%,24%,0%,17
61755,HIGH,57,48,29,950,1890,456,69%,11%,5%,4%,29%,15%,0%,17
61756,HIGH,40,27,24,720,913,207,53%,24%,6%,5%,37%,17%,5%,17
61769,HIGH,21,16,12,460,247,105,63%,9%,6%,7%,40%,21%,1%,17
61802,HIGH,1258,1129,612,20839,8709,4452,68%,13%,5%,12%,54%,18%,10%,17
61832,HIGH,3763,3097,2028,71360,13589,9262,51%,22%,17%,17%,41%,19%,3%,17
61841,HIGH,30,24,11,530,462,236,56%,17%,5%,5%,61%,23%,0%,17
61846,HIGH,281,214,176,5890,2128,816,45%,29%,15%,12%,54%,22%,0%,17
61870,HIGH,63,48,22,1060,487,228,42%,31%,10%,7%,21%,16%,1%,17
61874,HIGH,131,105,41,1280,3412,1405,77%,5%,5%,5%,58%,20%,15%,17
61876,HIGH,21,16,7,210,232,86,47%,12%,12%,8%,69%,20%,2%,17
61914,HIGH,37,30,14,520,876,410,48%,26%,8%,5%,37%,23%,0%,17
61917,HIGH,20,12,6,280,240,150,31%,14%,4%,8%,52%,27%,0%,17
61919,HIGH,20,13,10,400,318,122,75%,8%,6%,6%,21%,26%,0%,17
61924,HIGH,60,46,14,620,906,373,50%,23%,7%,11%,28%,22%,2%,17
61930,HIGH,9,6,6,260,257,44,62%,8%,8%,2%,17%,17%,2%,17
61944,HIGH,661,556,254,10770,5365,2590,58%,15%,12%,13%,49%,23%,1%,17
61951,HIGH,185,134,93,3690,2947,879,59%,17%,8%,6%,34%,19%,1%,17
62002,HIGH,3893,2393,3357,111254,13431,7438,70%,10%,10%,13%,51%,19%,2%,17
62010,HIGH,574,394,502,15359,4619,1377,77%,7%,7%,8%,57%,20%,0%,17
62016,HIGH,100,73,69,2370,1396,575,47%,17%,11%,9%,38%,20%,0%,17
62027,HIGH,20,16,8,440,210,78,41%,8%,24%,20%,100%,16%,1%,17
62034,HIGH,343,277,291,9040,6000,1448,81%,8%,6%,4%,45%,20%,3%,17
62045,HIGH,11,9,3,90,154,72,44%,20%,16%,1%,0%,41%,0%,17
62046,HIGH,13,10,12,460,352,95,75%,5%,13%,2%,20%,19%,2%,17
62048,HIGH,133,116,117,3510,775,517,78%,12%,7%,6%,54%,20%,2%,17
62052,HIGH,420,311,234,8170,4720,1408,63%,12%,12%,6%,46%,18%,1%,17
62056,HIGH,428,383,259,9708,3841,1800,65%,8%,15%,12%,47%,21%,2%,17
62060,HIGH,959,613,814,25178,1843,1413,58%,11%,18%,23%,65%,18%,3%,17
62062,HIGH,210,158,179,5635,3510,548,80%,11%,1%,5%,33%,21%,4%,17
62063,HIGH,25,21,14,405,359,117,33%,22%,13%,10%,70%,23%,0%,17
62067,HIGH,85,63,79,2430,870,272,74%,9%,12%,7%,38%,23%,2%,17
62084,HIGH,156,96,141,4195,694,384,71%,9%,11%,13%,67%,16%,1%,17
62090,HIGH,249,153,216,7059,443,327,57%,13%,9%,21%,59%,18%,0%,17
62092,HIGH,126,108,56,2280,1018,549,53%,21%,12%,8%,25%,18%,0%,17
62094,HIGH,63,40,27,810,340,183,56%,13%,12%,13%,23%,17%,0%,17
62097,HIGH,53,40,39,1370,1092,279,67%,13%,6%,3%,36%,18%,1%,17
62204,HIGH,1207,1060,862,29020,2447,2363,30%,14%,19%,26%,52%,19%,2%,17
62207,HIGH,1758,1464,1337,43111,3083,3043,31%,22%,30%,32%,52%,18%,0%,17
62215,HIGH,25,22,24,705,782,167,76%,7%,7%,3%,27%,16%,3%,17
62221,HIGH,1893,1324,1567,48653,11940,3391,77%,9%,6%,7%,37%,14%,4%,17
62223,HIGH,1221,993,1000,31023,7309,2387,68%,12%,7%,14%,57%,19%,3%,17
62231,HIGH,302,197,240,7665,2647,827,66%,13%,6%,7%,40%,20%,2%,17
62234,HIGH,2053,1667,1749,54872,13690,5832,77%,10%,6%,10%,54%,15%,5%,17
62238,HIGH,25,19,7,210,207,73,40%,24%,12%,13%,34%,14%,0%,17
62240,HIGH,124,84,85,3106,602,274,48%,34%,9%,4%,57%,12%,0%,17
62243,HIGH,158,132,132,4005,2267,612,60%,14%,7%,10%,52%,21%,3%,17
62249,HIGH,459,343,385,11531,6898,1665,73%,13%,8%,4%,33%,17%,2%,17
62257,HIGH,117,93,58,2240,862,404,60%,14%,13%,9%,34%,26%,0%,17
62269,HIGH,1273,793,1074,33675,13217,3003,83%,7%,3%,4%,43%,15%,4%,17
62271,HIGH,95,61,77,2265,808,379,61%,15%,14%,7%,49%,20%,2%,17
62286,HIGH,285,193,109,3970,2412,1062,62%,16%,7%,8%,46%,21%,3%,17
62289,HIGH,31,21,30,950,159,75,69%,13%,6%,13%,69%,12%,1%,17
62293,HIGH,129,110,115,3480,1735,542,63%,12%,14%,9%,55%,17%,0%,17
62294,HIGH,408,355,370,11260,5615,1116,80%,8%,5%,8%,48%,13%,2%,17
62298,HIGH,260,222,212,6525,6868,1170,71%,10%,9%,5%,45%,20%,1%,17
62301,HIGH,2093,1881,1171,46879,13630,7161,66%,11%,15%,12%,44%,19%,2%,17
62325,HIGH,6,5,3,190,167,43,78%,10%,9%,1%,0%,12%,1%,17
62341,HIGH,104,72,72,2278,1401,477,70%,6%,12%,7%,51%,21%,2%,17
62351,HIGH,46,29,29,861,750,181,73%,7%,12%,6%,32%,20%,0%,17
62356,HIGH,28,18,16,480,193,60,46%,13%,17%,13%,53%,10%,0%,17
62360,HIGH,39,34,26,930,696,316,60%,17%,8%,4%,25%,13%,0%,17
62365,HIGH,12,11,9,370,184,73,30%,9%,16%,5%,76%,15%,4%,17
62401,HIGH,565,506,347,12111,7933,3267,71%,11%,7%,8%,32%,18%,3%,17
62410,HIGH,24,18,9,470,484,151,47%,24%,8%,5%,56%,14%,1%,17
62417,HIGH,123,86,80,2600,1046,579,59%,21%,4%,8%,18%,16%,0%,17
62420,HIGH,149,114,85,3150,1824,699,47%,15%,12%,9%,38%,22%,1%,17
62426,HIGH,57,35,22,960,365,166,48%,11%,22%,8%,5%,30%,2%,17
62439,HIGH,380,239,235,8505,2862,1260,58%,17%,10%,10%,42%,21%,1%,17
62442,HIGH,88,70,53,2440,1057,510,43%,33%,9%,9%,50%,17%,2%,17
62448,HIGH,147,126,70,3050,2234,952,57%,20%,9%,10%,40%,20%,2%,17
62449,HIGH,94,76,59,1764,1359,637,46%,26%,9%,11%,26%,27%,1%,17
62451,HIGH,67,41,35,1150,933,331,65%,12%,7%,7%,13%,22%,1%,17
62463,HIGH,25,16,20,688,463,191,66%,5%,10%,5%,39%,27%,1%,17
62476,HIGH,42,34,19,770,610,277,53%,15%,10%,6%,43%,20%,0%,17
62520,HIGH,30,25,20,585,602,205,55%,18%,11%,3%,23%,23%,0%,17
62522,HIGH,1399,1103,754,26290,5814,3302,61%,16%,8%,17%,46%,17%,2%,17
62531,HIGH,38,32,27,1139,707,191,71%,12%,6%,7%,41%,16%,0%,17
62540,HIGH,78,55,56,1870,587,233,54%,19%,9%,16%,65%,16%,0%,17
62544,HIGH,30,22,14,620,615,114,60%,11%,10%,6%,40%,20%,1%,17
62549,HIGH,83,51,12,560,2296,391,83%,10%,4%,3%,33%,16%,1%,17
62550,HIGH,42,31,23,990,1102,423,55%,18%,7%,5%,33%,17%,0%,17
62560,HIGH,41,29,22,658,496,169,68%,7%,9%,10%,27%,15%,4%,17
62570,HIGH,20,14,15,550,246,31,78%,11%,6%,8%,35%,5%,3%,17
62613,HIGH,82,67,55,1925,1544,373,75%,8%,3%,4%,33%,12%,2%,17
62628,HIGH,20,16,16,480,305,134,67%,8%,3%,5%,32%,20%,1%,17
62629,HIGH,187,149,63,2490,5650,883,79%,7%,2%,5%,31%,11%,1%,17
62635,HIGH,15,12,10,400,295,96,57%,14%,10%,10%,34%,21%,0%,17
62665,HIGH,87,55,42,1610,572,325,42%,29%,13%,9%,50%,24%,2%,17
62670,HIGH,49,44,29,970,1048,268,61%,15%,10%,8%,40%,21%,1%,17
62688,HIGH,24,20,15,432,329,159,58%,13%,11%,4%,17%,28%,0%,17
62694,HIGH,80,66,35,1550,1197,476,59%,9%,12%,9%,35%,19%,0%,17
62702,HIGH,3297,2920,1641,68306,15167,8830,54%,16%,12%,18%,55%,16%,2%,17
62806,HIGH,95,73,50,2100,1384,550,50%,19%,14%,9%,52%,21%,1%,17
62808,HIGH,61,41,42,1230,664,330,43%,30%,12%,4%,22%,13%,1%,17
62812,HIGH,689,588,402,15055,4773,2508,51%,20%,11%,17%,42%,20%,0%,17
62816,HIGH,49,31,29,970,464,184,37%,32%,16%,11%,65%,28%,1%,17
62817,HIGH,30,19,16,530,269,176,57%,22%,12%,3%,17%,23%,0%,17
62821,HIGH,340,292,113,4340,3089,1623,58%,11%,13%,13%,29%,24%,2%,17
62822,HIGH,242,192,116,5315,1195,848,57%,15%,15%,21%,47%,20%,1%,17
62824,HIGH,57,51,23,790,675,268,47%,17%,11%,13%,42%,19%,0%,17
62830,HIGH,51,44,25,950,590,226,25%,37%,18%,18%,41%,25%,1%,17
62832,HIGH,530,475,303,10990,3786,2204,61%,17%,10%,12%,40%,19%,1%,17
62836,HIGH,19,12,11,330,338,110,44%,26%,9%,7%,8%,16%,0%,17
62844,HIGH,116,82,61,2330,856,401,51%,28%,10%,13%,24%,20%,1%,17
62863,HIGH,326,273,155,5450,3992,1871,55%,16%,12%,11%,37%,23%,3%,17
62868,HIGH,65,47,23,790,674,268,51%,23%,14%,8%,19%,19%,0%,17
62874,HIGH,26,18,9,270,192,101,20%,22%,18%,16%,36%,21%,0%,17
62880,HIGH,19,16,8,340,251,103,57%,10%,24%,13%,43%,31%,0%,17
62896,HIGH,974,700,502,19795,4722,2883,49%,24%,11%,19%,60%,20%,1%,17
62905,HIGH,15,11,4,220,220,94,27%,25%,29%,15%,0%,30%,9%,17
62906,HIGH,366,323,174,6410,2996,1532,36%,27%,15%,15%,43%,25%,0%,17
62910,HIGH,168,128,74,2720,808,585,32%,41%,15%,12%,25%,14%,0%,17
62914,HIGH,275,230,182,6430,681,590,22%,27%,25%,22%,34%,24%,1%,17
62917,HIGH,141,117,60,2450,951,365,47%,18%,17%,17%,61%,20%,1%,17
62918,HIGH,415,303,275,11033,4384,1681,61%,17%,8%,11%,35%,16%,1%,17
62919,HIGH,52,38,25,950,290,148,50%,12%,24%,14%,14%,28%,1%,17
62920,HIGH,80,68,36,1280,1213,586,28%,31%,28%,10%,60%,22%,9%,17
62922,HIGH,107,71,41,1615,1262,412,28%,30%,19%,8%,32%,19%,0%,17
62923,HIGH,22,16,7,210,162,106,37%,33%,19%,8%,50%,23%,0%,17
62924,HIGH,171,106,99,3470,1137,565,61%,24%,5%,9%,36%,15%,0%,17
62941,HIGH,26,21,13,490,266,121,14%,32%,33%,12%,52%,26%,1%,17
62942,HIGH,47,34,21,630,255,159,45%,31%,6%,15%,66%,9%,4%,17
62946,HIGH,827,683,396,15218,5152,3073,56%,13%,16%,14%,52%,19%,1%,17
62948,HIGH,943,626,536,19400,5468,3106,58%,19%,11%,12%,55%,18%,5%,17
62957,HIGH,41,32,16,680,231,148,17%,35%,34%,17%,37%,19%,1%,17
62958,HIGH,67,54,41,1430,823,386,35%,38%,10%,12%,24%,18%,2%,17
62959,HIGH,1556,1123,887,30964,11667,5467,48%,25%,13%,12%,48%,21%,2%,17
62960,HIGH,692,431,309,12146,4239,2047,43%,25%,15%,9%,59%,21%,1%,17
62966,HIGH,992,750,609,22814,6124,3131,56%,17%,11%,10%,46%,19%,4%,17
62977,HIGH,19,15,9,270,281,160,19%,47%,9%,4%,77%,15%,0%,17
62982,HIGH,78,53,41,1730,400,233,69%,13%,14%,17%,26%,15%,1%,17
62984,HIGH,151,97,113,5235,637,407,43%,22%,22%,22%,41%,23%,0%,17
62990,HIGH,45,29,15,650,318,185,5%,43%,22%,10%,0%,19%,0%,17
62999,HIGH,148,91,75,3020,621,388,55%,20%,10%,19%,41%,19%,0%,17
63019,HIGH,309,217,280,8745,1904,487,77%,9%,2%,11%,36%,17%,0%,29
63020,HIGH,1438,1010,1249,38963,7781,2988,48%,21%,11%,8%,35%,20%,2%,29
63026,HIGH,1523,1347,1340,41173,17026,3269,80%,10%,5%,6%,34%,16%,3%,29
63028,HIGH,1516,1208,1331,40828,10679,3007,62%,14%,9%,8%,33%,18%,1%,29
63036,HIGH,38,28,20,700,549,225,15%,25%,21%,4%,30%,28%,1%,29
63042,HIGH,2045,1828,1816,55556,8451,4111,75%,11%,6%,10%,51%,14%,7%,29
63043,HIGH,780,615,708,21409,9456,1937,86%,5%,3%,4%,19%,15%,19%,29
63044,HIGH,569,480,513,15679,4290,1263,69%,15%,10%,8%,34%,22%,9%,29
63048,HIGH,125,100,111,3440,1411,488,76%,8%,8%,6%,90%,15%,1%,29
63049,HIGH,715,633,630,19247,6514,1834,82%,8%,5%,5%,48%,16%,2%,29
63052,HIGH,1068,960,951,30314,10438,2806,80%,10%,3%,4%,49%,11%,2%,29
63070,HIGH,715,442,644,19614,2995,1342,69%,16%,5%,9%,29%,13%,0%,29
63072,HIGH,93,76,64,2215,1229,440,12%,43%,11%,1%,24%,12%,0%,29
63074,HIGH,1833,1415,1655,50376,6989,3578,70%,13%,7%,8%,46%,14%,10%,29
63077,HIGH,893,604,733,24965,4698,1684,41%,24%,11%,11%,37%,18%,3%,29
63084,HIGH,1172,863,1022,32043,7385,2363,61%,14%,8%,5%,39%,15%,1%,29
63087,HIGH,45,38,38,1135,323,136,5%,9%,38%,9%,0%,22%,1%,29
63090,HIGH,799,690,733,22074,8899,2278,67%,13%,7%,7%,32%,18%,1%,29
63091,HIGH,23,19,13,390,521,173,68%,8%,11%,8%,32%,17%,1%,29
63101,HIGH,422,310,311,10529,2133,1010,73%,10%,1%,8%,41%,9%,10%,29
63106,HIGH,2175,1927,1610,50846,4008,3642,38%,24%,24%,36%,61%,16%,6%,29
63107,HIGH,2095,1685,1636,53461,3841,2802,45%,14%,27%,26%,49%,18%,1%,29
63111,HIGH,3407,2767,2801,87598,8659,5874,52%,23%,15%,23%,59%,10%,6%,29
63113,HIGH,2284,1859,1716,54136,4471,3205,53%,14%,22%,22%,50%,20%,1%,29
63114,HIGH,3677,3103,3222,100884,14870,7613,72%,10%,8%,10%,47%,13%,9%,29
63115,HIGH,3595,3127,2857,90048,6860,5444,40%,21%,20%,29%,66%,18%,0%,29
63118,HIGH,3367,2993,2639,84803,11522,6489,63%,16%,13%,16%,47%,11%,8%,29
63120,HIGH,1695,1222,1329,42511,2506,2021,46%,15%,20%,27%,61%,13%,1%,29
63121,HIGH,4015,3350,3366,105788,10663,6278,59%,15%,12%,14%,53%,19%,2%,29
63125,HIGH,2410,1679,2159,66452,13612,5227,72%,13%,10%,8%,31%,16%,14%,29
63126,HIGH,279,220,249,7775,6161,946,86%,5%,4%,5%,32%,18%,4%,29
63129,HIGH,1421,1015,1294,39298,21243,3807,77%,10%,5%,5%,37%,20%,6%,29
63134,HIGH,2141,1646,1855,56966,5066,3631,63%,17%,10%,15%,56%,11%,4%,29
63135,HIGH,2779,2491,2305,71398,8247,4434,71%,9%,8%,14%,56%,14%,2%,29
63136,HIGH,8547,7309,7161,224958,18718,13177,57%,21%,13%,20%,67%,15%,1%,29
63137,HIGH,3331,2735,2809,88470,8410,5059,56%,23%,10%,18%,64%,16%,1%,29
63138,HIGH,2673,2319,2288,72395,7197,4053,73%,13%,8%,13%,53%,14%,2%,29
63147,HIGH,1702,1352,1376,42843,3504,2332,43%,17%,19%,23%,62%,20%,0%,29
63301,HIGH,2315,1756,2091,64194,20441,5233,77%,9%,5%,6%,38%,17%,6%,29
63336,HIGH,34,29,22,740,469,210,58%,14%,9%,5%,46%,28%,1%,29
63347,HIGH,103,66,45,1850,903,289,73%,11%,2%,1%,5%,7%,2%,29
63348,HIGH,59,37,47,1605,3766,337,73%,11%,4%,3%,27%,17%,1%,29
63351,HIGH,43,27,28,1075,666,145,57%,14%,10%,7%,18%,18%,1%,29
63359,HIGH,28,25,23,690,557,228,47%,5%,6%,7%,14%,20%,1%,29
63361,HIGH,281,189,246,7642,1932,841,61%,10%,8%,16%,17%,18%,1%,29
63362,HIGH,424,364,380,11804,3057,1174,73%,11%,6%,8%,34%,8%,1%,29
63366,HIGH,2088,1688,1943,59282,19650,4276,82%,8%,4%,5%,43%,14%,4%,29
63367,HIGH,424,290,396,11995,9831,1007,88%,5%,2%,3%,24%,16%,4%,29
63381,HIGH,13,10,7,410,208,43,27%,58%,5%,8%,6%,9%,0%,29
63461,HIGH,271,226,240,7414,2211,991,65%,12%,10%,10%,27%,20%,1%,29
